Parameter C : 0.31622776601683794, Parameter gamma : 5.623413251903491, Parameter coef0 : 0.046415888336127795, Parameter degree : 3, acc : 97.68
Parameter C : 0.31622776601683794, Parameter gamma : 5.623413251903491, Parameter coef0 : 2.1544346900318843, Parameter degree : 1, acc : 95.98
Parameter C : 0.31622776601683794, Parameter gamma : 5.623413251903491, Parameter coef0 : 2.1544346900318843, Parameter degree : 2, acc : 97.84
Parameter C : 0.31622776601683794, Parameter gamma : 5.623413251903491, Parameter coef0 : 2.1544346900318843, Parameter degree : 3, acc : 97.89999999999999
Parameter C : 0.31622776601683794, Parameter gamma : 5.623413251903491, Parameter coef0 : 100.0, Parameter degree : 1, acc : 96.3
Parameter C : 0.31622776601683794, Parameter gamma : 5.623413251903491, Parameter coef0 : 100.0, Parameter degree : 2, acc : 98.0
Parameter C : 0.31622776601683794, Parameter gamma : 5.623413251903491, Parameter coef0 : 100.0, Parameter degree : 3, acc : 98.04
Parameter C : 0.31622776601683794, Parameter gamma : 100.0, Parameter coef0 : 0.001, Parameter degree : 1, acc : 96.34
Parameter C : 0.31622776601683794, Parameter gamma : 100.0, Parameter coef0 : 0.001, Parameter degree : 2, acc : 98.1
Parameter C : 0.31622776601683794, Parameter gamma : 100.0, Parameter coef0 : 0.001, Parameter degree : 3, acc : 97.56
Parameter C : 0.31622776601683794, Parameter gamma : 100.0, Parameter coef0 : 0.046415888336127795, Parameter degree : 1, acc : 96.39999999999999
Parameter C : 0.31622776601683794, Parameter gamma : 100.0, Parameter coef0 : 0.046415888336127795, Parameter degree : 2, acc : 98.06
Parameter C : 0.31622776601683794, Parameter gamma : 100.0, Parameter coef0 : 0.046415888336127795, Parameter degree : 3, acc : 97.58
Parameter C : 0.31622776601683794, Parameter gamma : 100.0, Parameter coef0 : 2.1544346900318843, Parameter degree : 1, acc : 96.28
Parameter C : 0.31622776601683794, Parameter gamma : 100.0, Parameter coef0 : 2.1544346900318843, Parameter degree : 2, acc : 98.06
Parameter C : 0.31622776601683794, Parameter gamma : 100.0, Parameter coef0 : 2.1544346900318843, Parameter degree : 3, acc : 97.6
Parameter C : 0.31622776601683794, Parameter gamma : 100.0, Parameter coef0 : 100.0, Parameter degree : 1, acc : 96.3
Parameter C : 0.31622776601683794, Parameter gamma : 100.0, Parameter coef0 : 100.0, Parameter degree : 2, acc : 97.96000000000001
Parameter C : 0.31622776601683794, Parameter gamma : 100.0, Parameter coef0 : 100.0, Parameter degree : 3, acc : 97.61999999999999
Parameter C : 5.623413251903491, Parameter gamma : 0.001, Parameter coef0 : 0.001, Parameter degree : 1, acc : 96.92
Parameter C : 5.623413251903491, Parameter gamma : 0.001, Parameter coef0 : 0.001, Parameter degree : 2, acc : 93.26
Parameter C : 5.623413251903491, Parameter gamma : 0.001, Parameter coef0 : 0.001, Parameter degree : 3, acc : 49.6
